Foresight Sports: HUTCH - 12/2/2021 6:41 PM
Club, Ball, Ball Speed, Launch Angle, Side Angle, Backspin, Sidespin, Tilt Angle, Total Spin, Carry, Total, Offline, Descent Angle, Peak Height, To Pin, Club Speed, Efficiency, Angle of Attack, Club Path
, , MPH, °, °, RPM, RPM, °, RPM, YDS, YDS, YDS, °, YDS, , MPH, , °, °
, , , , , , , , , , , , , , , , , , 
Driver, Standard, 151.6, 18.7, 5.0 R, 2293, 175 R, 4.4 R, 2300, 270.7, 274.6, 34.1R, 47.5, 49.4, 106, 107.4, 1.41, 4.9 Up, 0.9 In-Out
Driver, Standard, 147.6, 14.6, 1.6 R, 2349, 38 R, 0.9 R, 2349, 258.2, 281.0, 10.4R, 41.7, 36.4, 98, 104.6, 1.41, 3.2 Up, 0.6 In-Out
Driver, Standard, 153.9, 17.6, 1.6 R, 2663, 247 L, 5.3 L, 2674, 263.1, 283.4, 6.6L, 47.3, 49.5, 159, 106.5, 1.45, 5.7 Up, 2.5 In-Out
Driver, Standard, 154.7, 16.0, 3.0 R, 3774, 82 R, 1.2 R, 3775, 246.2, 262.2, 12.3R, 49.5, 49.3, 141, 106.5, 1.45, 5.8 Up, 2.6 In-Out
Driver, Standard, 157.0, 17.4, 2.6 R, 3196, 139 L, 2.5 L, 3199, 259.3, 278.9, 5.1R, 49.4, 52.8, 196, 107.7, 1.46, 6.5 Up, 2.8 In-Out
Driver, Standard, 151.7, 18.0, 1.7 R, 3632, 826 R, 12.8 R, 3725, 239.9, 242.5, 40.3R, 50.5, 51.2, 309, 107.3, 1.41, 5.3 Up, 1.5 In-Out
Driver, Standard, 125.7, 16.5, 0.2 L, 4552, 448 L, 5.6 L, 4574, 1.0, 10.6, 4.0L, 16.5, 4.6, 299, --, --, --, --
Driver, Standard, 151.1, 11.8, 4.2 R, 4249, 654 R, 8.8 R, 4299, 232.3, 239.3, 38.9R, 44.8, 36.9, 69, 105.7, 1.43, 0.3 Up, 1.2 In-Out
Driver, Standard, 151.8, 18.1, 1.4 R, 3066, 234 L, 4.4 L, 3075, 254.6, 274.3, 4.4L, 49.2, 50.9, 128, 104.5, 1.45, 6.4 Up, 1.9 In-Out
Driver, Standard, 151.9, 17.1, 0.0 R, 3733, 348 R, 5.3 R, 3749, 242.4, 263.4, 16.3R, 49.8, 49.9, 119, 104.8, 1.45, 4.8 Up, 1.4 Out-In
Driver, Standard, 147.5, 14.2, 5.1 R, 4792, 1425 R, 16.6 R, 4999, 221.0, 233.1, 60.2R, 48.5, 40.3, 145, 104.4, 1.41, 1.0 Up, 0.6 In-Out
Driver, Standard, 153.0, 14.5, 2.5 L, 3199, 403 L, 7.2 L, 3224, 253.5, 260.5, 27.9L, 45.5, 42.2, 110, 103.7, 1.47, 4.2 Up, 0.8 Out-In
Driver, Standard, 155.5, 17.8, 1.0 R, 2059, 409 R, 11.2 R, 2099, 283.6, 291.3, 30.4R, 44.6, 46.7, 45, 109.9, 1.41, 5.0 Up, 0.3 Out-In
Driver, Standard, 157.2, 16.0, 0.3 L, 1674, 295 L, 10.0 L, 1700, 291.5, 313.1, 25.4L, 37.9, 38.1, 141, 109.4, 1.44, 5.2 Up, 1.0 In-Out
Driver, Standard, 159.4, 15.9, 0.6 L, 2580, 706 L, 15.3 L, 2675, 276.5, 278.6, 39.2L, 45.8, 46.0, 334, 109.7, 1.45, 5.4 Up, 2.0 In-Out
Driver, Standard, 114.5, 18.2, 0.0 L, 6388, 385 L, 3.4 L, 6400, 0.5, 8.1, 7.0R, 18.2, 4.3, 329, 87.4, 1.31, 5.5 Dn, 1.8 In-Out
Driver, Standard, 147.4, 11.7, 0.6 L, 2746, 546 L, 11.2 L, 2800, 243.9, 247.6, 24.6L, 37.4, 29.7, 87, --, --, --, --
Driver, Standard, 158.3, 17.8, 1.2 R, 1688, 354 L, 11.8 L, 1725, 298.1, 306.3, 19.8L, 41.4, 44.2, 168, 110.3, 1.43, 6.4 Up, 1.8 In-Out
Driver, Standard, 159.1, 15.3, 1.2 L, 3922, 128 L, 1.9 L, 3924, 254.3, 266.8, 9.8L, 49.5, 50.2, 153, 110.5, 1.44, 4.4 Up, 0.1 In-Out
Driver, Standard, 152.9, 16.6, 0.7 L, 3967, 679 R, 9.7 R, 4025, 240.9, 245.8, 19.6R, 49.7, 49.2, 268, 109.7, 1.39, 4.9 Up, 1.2 In-Out
Driver, Standard, 163.3, 17.1, 1.7 R, 2607, 791 L, 16.9 L, 2724, 282.2, 287.2, 34.5L, 47.7, 51.4, 229, 111.4, 1.47, 5.7 Up, 1.6 In-Out
