Foresight Sports: PLAYER 1 - 11/30/2021 5:52 PM
Club, Ball, Ball Speed, Launch Angle, Side Angle, Backspin, Sidespin, Tilt Angle, Total Spin, Carry, Total, Offline, Descent Angle, Peak Height, To Pin, Club Speed, Efficiency, Angle of Attack, Club Path
, , MPH, °, °, RPM, RPM, °, RPM, YDS, YDS, YDS, °, YDS, , MPH, , °, °
, , , , , , , , , , , , , , , , , , 
60* - 50 yard stock, Standard, 54.3, 32.0, 0.6 L, 6739, 1226 L, 10.3 L, 6850, 53.2, 55.1, 2.7L, 42.1, 10.8, 17'2", 52.8, 1.03, 3.2 Dn, 5.1 In-Out
60* - 50 yard stock, Standard, 49.5, 32.5, 1.4 R, 6627, 799 L, 6.9 L, 6675, 45.5, 47.4, 0.1R, 41.1, 9.0, 7'11", 50.2, 0.99, 4.6 Dn, 4.8 In-Out
60* - 50 yard stock, Standard, 50.7, 29.5, 1.1 L, 7967, 347 L, 2.5 L, 7975, 46.5, 47.7, 1.3L, 38.6, 8.3, 7'11", 53.7, 0.94, 5.6 Dn, 2.7 In-Out
60* - 50 yard stock, Standard, 50.5, 31.2, 1.3 R, 7847, 214 L, 1.6 L, 7850, 46.6, 47.6, 0.9R, 40.4, 8.9, 7'6", 53.2, 0.95, 5.5 Dn, 3.9 In-Out
60* - 50 yard stock, Standard, 53.5, 29.7, 2.6 L, 7471, 653 L, 5.0 L, 7499, 51.3, 52.9, 3.3L, 39.5, 9.4, 13'0", 53.6, 1.00, 6.5 Dn, 1.3 In-Out
60* - 50 yard stock, Standard, 47.6, 30.2, 1.6 R, 7449, 121 L, 0.9 L, 7450, 41.7, 42.9, 1.1R, 38.1, 7.4, 21'6", 51.1, 0.93, 6.0 Dn, 4.7 In-Out
60* - 50 yard stock, Standard, 53.5, 32.6, 0.8 R, 6687, 401 L, 3.4 L, 6699, 52.0, 53.9, 0.0R, 42.5, 10.7, 11'9", 54.0, 0.99, 5.7 Dn, 2.4 In-Out
60* - 50 yard stock, Standard, 49.0, 29.2, 0.8 R, 7949, 43 R, 0.3 R, 7949, 43.6, 44.7, 0.6R, 37.6, 7.6, 15'10", 53.1, 0.92, 5.8 Dn, 3.5 In-Out
60* - 50 yard stock, Standard, 53.3, 33.2, 1.9 R, 7848, 171 L, 1.2 L, 7850, 51.5, 52.4, 1.5R, 43.6, 11.0, 8'6", 56.8, 0.94, 4.8 Dn, 4.3 In-Out
60* - 50 yard stock, Standard, 51.8, 34.2, 0.4 R, 7648, 166 L, 1.2 L, 7650, 49.1, 50.0, 0.1R, 44.0, 10.8, 0'4", 54.5, 0.95, 3.7 Dn, 2.1 In-Out
60* - 50 yard stock, Standard, 52.5, 30.5, 1.9 R, 7842, 342 L, 2.5 L, 7849, 49.7, 50.9, 1.2R, 40.2, 9.4, 4'6", 54.2, 0.97, 5.8 Dn, 5.2 In-Out
60* - 50 yard stock, Standard, 53.5, 31.6, 2.3 R, 8069, 308 L, 2.2 L, 8075, 51.6, 52.6, 1.7R, 41.9, 10.4, 9'0", 55.6, 0.96, 5.1 Dn, 5.2 In-Out
60* - 50 yard stock, Standard, 50.3, 30.6, 0.7 R, 7470, 244 L, 1.9 L, 7474, 46.3, 47.7, 0.3R, 39.5, 8.6, 6'10", 52.6, 0.96, 6.7 Dn, 3.2 In-Out
60* - 50 yard stock, Standard, 51.0, 32.5, 1.1 R, 7992, 348 L, 2.5 L, 8000, 47.7, 48.6, 0.5R, 42.1, 9.7, 4'4", 54.9, 0.93, 5.2 Dn, 3.3 In-Out
60* - 50 yard stock, Standard, 51.4, 32.9, 1.8 R, 7364, 402 L, 3.1 L, 7375, 48.5, 49.8, 1.0R, 42.4, 10.0, 2'5", 53.6, 0.96, 5.2 Dn, 3.7 In-Out
60* - 50 yard stock, Standard, 51.6, 31.0, 1.2 R, 8148, 133 L, 0.9 L, 8149, 48.3, 49.3, 0.9R, 40.6, 9.3, 2'10", 55.5, 0.93, 5.7 Dn, 3.9 In-Out
60* - 50 yard stock, Standard, 47.8, 31.6, 1.3 L, 7898, 129 L, 0.9 L, 7899, 42.4, 43.3, 1.1L, 40.0, 8.1, 20'5", 54.3, 0.88, 5.1 Dn, 2.2 In-Out
60* - 50 yard stock, Standard, 52.1, 32.7, 0.9 R, 7076, 580 L, 4.7 L, 7100, 49.6, 51.1, 0.0L, 42.2, 10.2, 3'4", 53.3, 0.98, 4.9 Dn, 3.7 In-Out
60* - 50 yard stock, Standard, 52.3, 26.6, 1.3 R, 6805, 520 R, 4.4 R, 6825, 48.1, 51.4, 2.0R, 35.0, 7.5, 6'7", 53.7, 0.97, 5.8 Dn, 4.1 In-Out
