Foresight Sports: PLAYER 1 - 11/30/2021 5:09 PM
Club, Ball, Ball Speed, Launch Angle, Side Angle, Backspin, Sidespin, Tilt Angle, Total Spin, Carry, Total, Offline, Descent Angle, Peak Height, To Pin, Club Speed, Efficiency, Angle of Attack, Club Path
, , MPH, °, °, RPM, RPM, °, RPM, YDS, YDS, YDS, °, YDS, , MPH, , °, °
, , , , , , , , , , , , , , , , , , 
Wedge, Standard, 49.4, 30.7, 4.2 R, 7572, 206 L, 1.6 L, 7575, 46.7, 47.5, 3.2R, 41.9, 8.3, 28'3", 53.6, 0.92, 5.0 Dn, 7.7 In-Out
Wedge, Standard, 48.6, 30.1, 1.1 R, 7299, 79 R, 0.6 R, 7299, 45.3, 46.4, 1.0R, 41.0, 7.8, 29'10", 54.3, 0.90, 6.4 Dn, 5.2 In-Out
Wedge, Standard, 54.3, 30.2, 1.9 R, 7740, 380 L, 2.8 L, 7749, 54.3, 55.5, 1.2R, 42.4, 10.0, 4'4", 56.1, 0.97, 6.2 Dn, 4.8 In-Out
Wedge, Standard, 56.3, 34.3, 1.0 R, 7456, 529 L, 4.1 L, 7475, 57.8, 58.8, 0.0R, 47.0, 13.0, 7'5", 57.1, 0.99, 3.6 Dn, 4.4 In-Out
Wedge, Standard, 58.0, 32.5, 0.5 L, 8304, 589 L, 4.1 L, 8325, 60.4, 61.1, 1.6L, 46.1, 12.9, 15'3", 60.8, 0.95, 4.5 Dn, 3.9 In-Out
Wedge, Standard, 54.5, 33.2, 4.0 R, 7783, 510 L, 3.7 L, 7800, 54.8, 55.7, 3.0R, 45.6, 11.5, 9'4", 56.8, 0.96, 4.8 Dn, 7.1 In-Out
Wedge, Standard, 50.8, 33.2, 4.1 R, 7849, 85 L, 0.6 L, 7849, 49.0, 49.6, 3.4R, 44.8, 9.9, 22'10", 56.2, 0.90, 5.0 Dn, 6.7 In-Out
Wedge, Standard, 58.7, 35.6, 3.8 R, 6976, 572 L, 4.7 L, 6999, 61.7, 63.0, 2.9R, 48.7, 14.9, 21'8", 60.4, 0.97, 4.0 Dn, 5.7 In-Out
Wedge, Standard, 55.5, 32.0, 1.3 R, 7456, 529 L, 4.1 L, 7475, 56.6, 57.9, 0.3R, 44.5, 11.4, 4'10", 57.6, 0.96, 6.2 Dn, 4.1 In-Out
Wedge, Standard, 55.8, 32.2, 3.9 R, 8092, 353 L, 2.5 L, 8100, 56.8, 57.7, 3.3R, 45.0, 11.7, 10'7", 58.6, 0.95, 5.5 Dn, 6.7 In-Out
Wedge, Standard, 57.1, 34.8, 0.8 R, 6840, 900 L, 7.5 L, 6899, 59.3, 60.7, 1.1L, 47.4, 13.5, 13'5", 56.1, 1.02, 2.6 Dn, 4.0 In-Out
Average, , 54.5, 32.6, 2.3 R, 7579, 416 L, 3.2 L, 7595, 54.8, 55.8, 1.4R, 44.9, 11.4, 15'3", 57.0, 0.95, 4.9 Dn, 5.5 In-Out
Std. Dev., , 3.3, 1.8, 1.6, 421, 257, 2.1, 413, 5.3, 5.4, 1.8R, 2.3, 2.1, 8'8", 2.1, 0.03, 1.1, 1.3
