Foresight Sports: mhutch84 - 12/6/2021 3:45 PM
Club, Ball, Ball Speed, Launch Angle, Side Angle, Backspin, Sidespin, Tilt Angle, Total Spin, Carry, Total, Offline, Descent Angle, Peak Height, To Pin, Club Speed, Efficiency, Angle of Attack, Club Path, Face to Path, Lie, Loft, Closure Rate, Face Impact Lateral, Face Impact Vertical
, , MPH, °, °, RPM, RPM, °, RPM, YDS, YDS, YDS, °, YDS, , MPH, , °, °, °, °, °, dps, mm, mm
, , , , , , , , , , , , , , , , , , , , , , , , 
Driver, Standard, 157.9, 17.3, 5.6 R, 3074, 67 L, 1.2 L, 3075, 264.8, 282.8, 24.1R, 48.9, 52.8, 96, 109.1, 1.45, 6.8 Up, 5.3 In-Out, --, --, --, --, --, --
Driver, Standard, 155.6, 13.1, 2.7 R, 3669, 201 L, 3.1 L, 3675, 250.6, 267.2, 4.2R, 45.9, 41.7, 107, 109.6, 1.42, 7.1 Up, 5.5 In-Out, --, --, --, --, --, --
Driver, Standard, 153.1, 17.0, 1.1 R, 2474, 26 L, 0.6 L, 2474, 268.3, 287.7, 4.0R, 45.3, 46.6, 87, 108.7, 1.41, 8.2 Up, 4.4 In-Out, --, --, --, --, --, --
Driver, Standard, 159.0, 16.4, 3.0 R, 3114, 255 L, 4.7 L, 3124, 265.9, 282.9, 1.8R, 48.3, 50.8, 92, 109.9, 1.45, 7.0 Up, 4.4 In-Out, --, --, --, --, --, --
Driver, Standard, 158.0, 16.0, 4.1 R, 3223, 87 L, 1.5 L, 3224, 262.5, 280.1, 15.6R, 48.1, 49.7, 96, 110.3, 1.43, 6.7 Up, 5.5 In-Out, --, --, --, --, --, --
Driver, Standard, 158.5, 16.0, 3.9 R, 1123, 1275 L, 48.6 L, 1699, 257.1, 283.0, 58.0L, 31.9, 28.3, 114, 110.2, 1.44, 7.1 Up, 4.6 In-Out, --, --, --, --, --, --
Driver, Standard, 155.9, 17.6, 3.6 R, 2573, 98 L, 2.2 L, 2575, 271.7, 290.2, 12.2R, 46.9, 50.3, 85, 108.8, 1.43, 7.8 Up, 4.8 In-Out, --, --, --, --, --, --
Driver, Standard, 151.5, 13.2, 1.6 R, 3218, 211 L, 3.8 L, 3225, 249.5, 266.5, 1.8L, 43.5, 38.2, 108, 108.6, 1.39, 7.6 Up, 5.1 In-Out, --, --, --, --, --, --
Driver, Standard, 158.0, 15.4, 2.8 R, 2173, 1131 L, 27.5 L, 2450, 268.4, 289.5, 53.4L, 41.8, 39.2, 105, 108.9, 1.45, 7.2 Up, 4.1 In-Out, --, --, --, --, --, --
Driver, Standard, 155.9, 16.2, 4.9 R, 3620, 177 R, 2.8 R, 3624, 251.7, 268.0, 30.7R, 49.1, 49.9, 112, 108.9, 1.43, 7.3 Up, 4.7 In-Out, --, --, --, --, --, --
Driver, Standard, 160.1, 16.6, 2.9 R, 2920, 416 L, 8.1 L, 2949, 271.4, 289.2, 8.3L, 47.9, 51.0, 86, 111.3, 1.44, 7.1 Up, 4.7 In-Out, --, --, --, --, --, --
Driver, Standard, 161.3, 13.1, 1.3 R, 1263, 1891 L, 56.3 L, 2274, 231.4, 257.5, 76.4L, 28.0, 21.2, 150, 110.5, 1.46, 6.3 Up, 4.0 In-Out, --, --, --, --, --, --
Driver, Standard, 158.2, 18.5, 5.9 R, 3267, 214 R, 3.7 R, 3274, 260.8, 277.0, 39.1R, 50.6, 56.6, 107, 110.2, 1.44, 6.8 Up, 4.0 In-Out, --, --, --, --, --, --
Driver, Standard, 163.4, 16.9, 4.0 R, 2989, 460 L, 8.7 L, 3024, 275.7, 293.5, 5.1L, 49.0, 54.1, 81, 112.9, 1.45, 6.7 Up, 4.7 In-Out, --, --, --, --, --, --
Driver, Standard, 156.8, 17.6, 4.1 R, 3866, 510 R, 7.5 R, 3899, 247.7, 262.1, 39.5R, 51.1, 54.4, 122, 111.2, 1.41, 7.2 Up, 4.7 In-Out, --, --, --, --, --, --
Driver, Standard, 161.2, 17.3, 2.4 R, 3422, 432 L, 7.2 L, 3449, 263.1, 279.7, 9.3L, 50.4, 55.5, 95, 111.7, 1.44, 8.4 Up, 4.4 In-Out, --, --, --, --, --, --
Driver, Standard, 157.6, 15.1, 2.3 R, 3645, 179 R, 2.8 R, 3649, 254.9, 271.2, 18.6R, 48.4, 48.1, 105, 111.2, 1.42, 6.9 Up, 4.4 In-Out, --, --, --, --, --, --
Driver, Standard, 160.2, 17.5, 1.6 R, 3299, 53 L, 0.9 L, 3299, 264.5, 280.7, 5.3R, 50.0, 55.3, 94, 110.9, 1.44, 7.0 Up, 2.7 In-Out, --, --, --, --, --, --
Driver, Standard, 162.0, 14.9, 2.5 R, 3157, 521 L, 9.4 L, 3200, 269.8, 286.8, 14.1L, 47.3, 48.1, 89, 111.2, 1.46, 7.4 Up, 4.1 In-Out, --, --, --, --, --, --
Driver, Standard, 158.3, 18.7, 5.9 R, 2574, 70 L, 1.6 L, 2575, 276.7, 295.3, 25.8R, 48.4, 54.8, 84, 110.6, 1.43, 6.5 Up, 3.3 In-Out, --, --, --, --, --, --
Driver, Standard, 160.5, 15.1, 2.1 R, 1843, 775 L, 22.8 L, 1999, 285.2, 308.4, 43.3L, 38.7, 37.5, 82, 110.9, 1.45, 5.6 Up, 3.0 In-Out, --, --, --, --, --, --
Driver, Standard, 160.9, 17.1, 5.0 R, 2751, 516 L, 10.6 L, 2799, 275.8, 294.0, 4.6L, 47.9, 52.0, 81, 110.9, 1.45, 6.7 Up, 3.6 In-Out, --, --, --, --, --, --
Driver, Standard, 158.6, 15.7, 3.1 R, 3774, 20 L, 0.3 L, 3774, 254.6, 269.7, 14.0R, 49.4, 50.6, 106, 111.3, 1.43, 7.3 Up, 5.1 In-Out, --, --, --, --, --, --
