Foresight Sports: MHUTCH84 - 12/28/2021 3:20 PM
Club, Ball, Ball Speed, Launch Angle, Side Angle, Backspin, Sidespin, Tilt Angle, Total Spin, Carry, Total, Offline, Descent Angle, Peak Height, To Pin, Club Speed, Efficiency, Angle of Attack, Club Path, Face to Path, Lie, Loft, Closure Rate, Face Impact Lateral, Face Impact Vertical
, , MPH, °, °, RPM, RPM, °, RPM, YDS, YDS, YDS, °, YDS, YDS, MPH, , °, °, °, °, °, dps, mm, mm
, , , , , , , , , , , , , , , , , , , , , , , , 
Driver, Standard, 156.1, 16.7, 3.5, 1250, 248, 11.2, 1274, 282.9, 297.5, 36.3, 31.5, 33.8, 112.5, 109.4, 1.43, 6.9, 3.4, --, --, --, --, --, --
Driver, Standard, 157.1, 20.2, 8.4, 3094, 186, 3.4, 3100, 263.0, 268.6, 49.2, 52.5, 60.3, 88.3, 109.2, 1.44, 8.1, 4.9, --, --, --, --, --, --
Driver, Standard, 151.8, 15.4, 3.8, 3726, 743, 11.3, 3799, 242.4, 247.7, 44.0, 49.1, 45.1, 198.2, 108.5, 1.40, 6.7, 4.6, --, --, --, --, --, --
Driver, Standard, 158.7, 18.3, 3.1, 2820, -154, -3.1, 2824, 272.9, 291.9, 4.5, 50.2, 55.3, 144.3, 109.3, 1.45, 8.1, 3.1, --, --, --, --, --, --
Driver, Standard, 154.0, 17.7, 5.1, 1988, 498, 14.1, 2049, 278.4, 285.2, 57.2, 44.2, 45.1, 241.7, 107.6, 1.43, 6.5, 4.0, --, --, --, --, --, --
Driver, Standard, 158.1, 15.3, 2.6, 1392, 2075, 56.1, 2499, 234.6, 251.5, 101.8, 35.3, 26.5, 270.5, 108.7, 1.45, 6.2, 4.1, --, --, --, --, --, --
Driver, Standard, 158.0, 17.7, 5.6, 2239, -522, -13.1, 2299, 281.7, 312.1, -7.0, 46.5, 49.0, 255.9, 108.4, 1.46, 7.4, 3.7, --, --, --, --, --, --
Driver, Standard, 150.7, 13.7, 2.2, 3100, 0, 0.0, 3100, 252.3, 272.8, 14.1, 45.0, 39.1, 20.4, 105.6, 1.43, 3.4, 3.1, --, --, --, --, --, --
Driver, Standard, 153.8, 16.0, 1.7, 3245, 177, 3.1, 3250, 253.7, 259.9, 15.9, 48.0, 47.4, 258.9, 108.8, 1.41, 7.1, 4.2, --, --, --, --, --, --
Driver, Standard, 154.8, 17.7, 3.0, 3394, 853, 14.1, 3500, 252.0, 269.5, 58.1, 51.1, 51.7, 229.6, 108.3, 1.43, 6.2, 2.7, --, --, --, --, --, --
Driver, Standard, 158.5, 15.0, 1.8, 1746, -921, -27.8, 1974, 281.2, 292.2, -50.3, 39.4, 34.8, 284.2, 108.2, 1.46, 6.2, 3.8, --, --, --, --, --, --
